"checkins","latitude","longitude","name"
"Chicago Style Fitness","41.9966856251375","-87.808886309842","75"
"Chicago Style Fitness","41.9966563396701","-87.8089151138116","87"
"DoubleTree by Hilton Hotel Chicago O'Hare Airport - Rosemont","41.9781961207671","-87.8633254766464","15573"
"Gibsons Bar & Steakhouse","41.978853627077","-87.8630340159787","5264"
"Chicago Auto Recovery Towing","41.9951743571508","-87.8076267242432","0"
"Chicago Public Library","41.9920605575329","-87.7983194589615","241"
"Pro Parts Chicago LLC","42.0076439764933","-87.823441028595","0"
"Collision Centers of America - Chicago Touhy","42.0116291398803","-87.8147139381244","14"
"Garrett Popcorn Shops","41.9761463045092","-87.9011821746826","3076"
"Fencing Center Of Chicago","42.0106963031923","-87.8267316411111","131"
"Portage Park","41.9549104746811","-87.7646684646606","6012"
"Windshield Centers: Chicago North AllStar Auto Glass","42.0114545362771","-87.8164029121399","0"
"Kidd Joe's Tat Cave","41.9461317737427","-87.8069612028242","3404"
"Gino's East","41.985075923036","-87.843955899045","1965"
"Wizard World - Chicago Comic Con","41.979529664894","-87.8610105275051","7915"
"Aloft Chicago O’Hare","41.9773586551701","-87.8671181201935","428"
"Central Chicago Tire","41.92631976768","-87.8222733706764","88"
"Frank Lloyd Wright Home and Studio","41.8940799460891","-87.7996536894699","4053"
"Giordano's","41.8941325908631","-87.8036004698908","1226"
"Car Gadgets Chicago","41.9378815988673","-87.8046655654907","0"
"Chicago Ink Tattoo & Body Piercing","41.93916","-87.72389","283"
"Marco's","41.923972","-87.775806","357"
"Hilton Garden Inn Chicago-O'Hare Airport","42.0013057440519","-87.8641006350517","3884"
"The Autobarn City Volkswagen of Chicago","41.9534735327495","-87.7609694677908","380"
"Chicago Public Library - Dunning Branch","41.9430968760164","-87.8139513731003","856"
"Wolfy's","41.9906984345317","-87.698533300249","1462"
"Katsu","41.990282","-87.696523","596"
"Chicago Public Library - Albany Park Branch","41.975492263648","-87.7138459682465","702"
"Chicago Printmakers Collaborative","41.9659759987948","-87.6887486786123","84"
"Hopleaf Bar","41.9758870818006","-87.6684522628784","24662"
"HPI Chicago","41.9553594","-87.6747642","1564"
"Chicago Nails","42.011962","-87.726471","196"
"Metropolis Coffee Company","41.994539","-87.65726","91"
"Chicago Cycle","42.0123154679618","-87.715744972229","274"
"Chicago Locker Room","42.0096701041297","-87.7134636629712","2923"
"Neo-Futurists","41.9759060903939","-87.6694090793735","11368"
"Smoque BBQ","41.9501405954361","-87.7277","636"
"Caldwell Woods Bicycle Trail (North Branch Trail)","41.9975983108074","-87.76780128479","2570"
"Pequod's Pizzeria","42.0362162166667","-87.782626","5033"
"Spacca Napoli Pizzeria","41.96326915","-87.6737587833333","5152"
"San Soo Gab San","41.9775221612233","-87.6888531446457","9847"
"Green Mill Cocktail Lounge","41.9691748403364","-87.6598262786865","1653"
"Aroy Thai","41.9666731574069","-87.6791208286394","0"
"Chicago Truck Accident Lawyer","41.9975823640456","-87.7191352844238","10773"
"Chicago Costume Warehouse","41.9606708545965","-87.7460217475891","14634"
"Chicago Kalbi Korean BBQ","41.96831504","-87.722849","1122"
"Caldwell Woods Bicycle Trail (North Branch Trail)","41.9975983108074","-87.76780128479","550"
"Holiday Inn Chicago North Shore (Skokie)","42.0125307490448","-87.7606282575862","3630"
"Smoque BBQ","41.9501405954361","-87.7277","11368"
"Chicago Lambco","42.01195","-87.769836","0"
"Chicago Public Library","41.9972232243394","-87.7621132240726","412"
"Chicago Cat Clinic","41.9972372300154","-87.7611616977588","145"
"Local Goods Chicago","41.997331","-87.762892","33"
"Chicago Namoo Church","42.0045225913677","-87.7460210877815","465"
"Home Design Outlet Center Chicago","42.012511","-87.763692","26"
"Chicago private towing company","41.9971947563299","-87.7624207838537","31"
"Chicago ORT Technical Institute","42.016679734035","-87.7636867761612","181"
"New Breed Jiu-Jitsu Chicago","42.0180228314551","-87.7687454223633","289"
"Kuma's Corner","41.9394777504051","-87.7003544569016","24310"
"Portillo's","42.0518858116491","-87.7475398778915","10047"
"Neo-Futurists","41.9759060903939","-87.6694090793735","2923"
"Spacca Napoli Pizzeria","41.96326915","-87.6737587833333","0"
"iFLY Chicago","41.9792419168679","-87.8686293019176","445"
"Chicago Burger","41.9745050506039","-87.8674882462388","176"
"Hampton Chicago O Hare Intl Airport","41.9500421095954","-87.8850946679436","1466"
"Rosemont Stadium (Chicago Bandits)","41.9804851372075","-87.8721714019775","1009"
"Garrett Popcorn Shops","41.9788581095883","-87.907018661499","3396"
"Chicago O'Hare USO","41.9764653463943","-87.904314994812","1306"
"Sheraton Chicago O'Hare Airport","41.9965617629765","-87.8844022750854","4593"
"Chicago Travel & Adventure Show","41.9791364194751","-87.8609913470832","141"
"Crowne Plaza Chicago Ohare Hotel & Conf Ctr","41.97724","-87.863787","11670"
"Intercontinental Chicago O'Hare","41.9737215339506","-87.8633308410645","5"
"Renaissance Chicago O'Hare Suites Hotel","41.9832286582531","-87.8401136398315","5389"
"Perry Ellis - Fashion Outlets of Chicago","41.974742501227","-87.8672790527344","51"
"Kenneth Cole @ Fashion Outlets of Chicago","41.9745602225459","-87.867819059485","29"
"Motel 6 Chicago-O'hare Airprt","41.966517","-87.862868","703"
"J.Crew Factory Fashion Outlets of Chicago","41.9752500687195","-87.8677471437693","1"
"Food Court - Fashion Outlets of Chicago","41.9756836909367","-87.8680515289307","3"
